Risk Score,Count
6.0,136
7.0,69
8.0,513
9.0,1272
10.0,19303
11.0,22793
12.0,126799
13.0,81332
14.0,244088
15.0,117014
16.0,172635
17.0,61566
18.0,98796
19.0,30557
20.0,55783
21.0,8367
22.0,9282
23.0,704
24.0,535
25.0,117
26.0,211
27.0,3
28.0,3
