Risk Score,Count
6.0,46
7.0,144
8.0,231
9.0,1465
10.0,6348
11.0,24500
12.0,85006
13.0,139293
14.0,198244
15.0,235053
16.0,138818
17.0,65541
18.0,37061
19.0,39678
20.0,47814
21.0,19941
22.0,9524
23.0,1898
24.0,646
25.0,367
26.0,247
27.0,8
28.0,4
29.0,1
