risk_2020,risk_2021,risk_2022,risk_2023,risk_All years averaged
6.0,2.0,6.0,6.0,6.0
29.0,28.0,29.0,27.0,28.0
15.113290163237,14.040424298564,15.618234652997,16.101839215502,15.118454260213
23.0,26.0,23.0,21.0,22.0
2.4133384379294,3.3702332586553,3.084577685427,2.9950134214512,2.4916677643753
