Risk Score,Count
6.0,143
7.0,160
8.0,694
9.0,9113
10.0,19580
11.0,46369
12.0,90324
13.0,113870
14.0,158760
15.0,142858
16.0,85940
17.0,65080
18.0,76389
19.0,102902
20.0,79720
21.0,35130
22.0,17086
23.0,4417
24.0,2015
25.0,843
26.0,360
27.0,88
28.0,36
29.0,1
