Risk Score,Count
2.0,103
3.0,5
4.0,2752
5.0,8125
6.0,19699
7.0,29203
8.0,23141
9.0,16420
10.0,18322
11.0,55074
12.0,104470
13.0,132566
14.0,179083
15.0,173826
16.0,100349
17.0,53594
18.0,30453
19.0,32492
20.0,38520
21.0,18373
22.0,11437
23.0,2898
24.0,532
25.0,164
26.0,203
27.0,53
28.0,21
